gauge	istat	jstat
41008	501	1132
41009	504	1133
41010	518	1130
41011	485	1128
41012	523	1131
41013	567	1137
41014	504	1129
41015	476	1143
41016	562	1135
41018	505	1125
41019	512	1118
41020	543	1134
41022	494	1127
41023	487	1143
41025	506	1119
41026	538	1125
41027	478	1123
41028	523	1134
41029	558	1137
41030	533	1122
41032	502	1132
41034	479	1140
41035	514	1118
41036	569	1138
41037	540	1141
41038	544	1135
42001	459	1143
42003	433	1149
42004	436	1131
42005	432	1118
42006	460	1136
42007	459	1117
42009	457	1118
42011	453	1135
42012	438	1111
42013	436	1132
42014	433	1132
42015	451	1111
42016	451	1118
42018	445	1132
42020	438	1128
42021	436	1134
42022	436	1135
42023	445	1135
42024	440	1110
42025	473	1143
42026	434	1120
42027	444	1108
42811	459	1117
43001	415	1145
43003	417	1135
43004	416	1119
43005	415	1109
43006	410	1120
43007	411	1153
43008	409	1115
43009	382	1135
43010	402	1141
43011	416	1124
43012	391	1107
43014	414	1093
43015	387	1109
43018	402	1150
43021	416	1155
43022	413	1154
43023	416	1124
43024	398	1111
43025	418	1141
43801	398	1110
43806	386	1113
43810	417	1135
43811	417	1135
44001	387	1164
44002	391	1163
44003	348	1158
44004	371	1160
44006	364	1150
44008	363	1160
44011	348	1158
44012	371	1151
44013	372	1154
44014	382	1157
44801	354	1150
44810	387	1164
44811	387	1164
44812	371	1160
44813	371	1160
45001	294	1149
45002	295	1132
45003	302	1146
45004	327	1155
45005	309	1162
45007	293	1159
45008	313	1151
45009	294	1124
45011	293	1125
45012	291	1154
45013	309	1153
46002	285	1176
46003	276	1185
46005	266	1173
46006	265	1196
46007	264	1177
46008	273	1202
46009	282	1203
46013	281	1172
46014	286	1171
46802	264	1179
46812	282	1187
47001	243	1178
47002	235	1161
47003	248	1184
47004	237	1188
47005	234	1164
47006	239	1166
47007	259	1199
47008	240	1165
47009	235	1191
47010	229	1151
47011	253	1189
47013	224	1174
47014	252	1181
47015	248	1182
47016	246	1177
47017	243	1160
47018	242	1164
47019	237	1166
47020	237	1173
47021	233	1165
47023	228	1144
47024	250	1176
47025	246	1156
48002	210	1188
48003	193	1205
48004	216	1182
48005	182	1205
48006	166	1223
48007	176	1212
48008	201	1201
48009	219	1183
48010	230	1191
48011	210	1187
48801	168	1219
48811	218	1179
48812	218	1179
49001	202	1182
49002	156	1217
49003	214	1174
50001	261	1126
50002	249	1132
50003	263	1157
50005	256	1160
50006	267	1129
50007	267	1145
50008	253	1149
50010	251	1144
50011	259	1148
50012	279	1124
50013	268	1110
50014	261	1115
51001	309	1108
51003	304	1112
52002	356	1139
52003	321	1125
52004	337	1132
52005	321	1126
52006	359	1133
52007	347	1136
52009	351	1107
52010	359	1119
52011	349	1121
52014	309	1130
52015	349	1079
52016	322	1112
52017	347	1088
52020	358	1141
52025	312	1124
52026	368	1110
52813	321	1126
52814	342	1123
52815	329	1125
53001	391	1087
53002	391	1090
53003	375	1085
53004	364	1086
53005	377	1089
53006	365	1072
53007	381	1095
53008	397	1067
53009	374	1093
53013	395	1077
53017	369	1080
53018	379	1083
53019	396	1063
53020	394	1066
53022	373	1086
53023	389	1063
53024	392	1061
53025	376	1101
53026	367	1068
53028	383	1082
53029	386	1093
53030	390	1058
54001	379	975
54002	405	1006
54003	303	931
54004	434	977
54005	342	936
54006	384	973
54007	409	996
54008	359	983
54010	422	1001
54011	387	988
54012	360	938
54013	295	965
54014	317	954
54015	393	1004
54016	360	935
54017	378	1026
54018	347	941
54019	435	978
54020	344	931
54023	407	1005
54024	374	955
54025	295	968
54026	390	1025
54027	384	1046
54028	325	930
54029	373	994
54032	386	1012
54034	377	974
54036	403	1010
54038	326	928
54040	368	930
54041	365	926
54042	292	964
54043	386	1012
54044	364	919
54045	335	920
54046	379	945
54047	340	928
54048	428	995
54049	432	985
54050	440	981
54051	292	964
54052	363	918
54053	352	975
54054	346	971
54055	367	978
54056	340	971
54057	385	1023
54059	366	928
54060	364	928
54061	362	922
54063	388	964
54065	357	926
54066	362	927
54067	386	959
54068	339	920
54080	300	965
54081	292	964
54085	362	1039
54088	369	1053
54089	392	1014
54094	365	933
54095	366	946
54096	387	986
54098	376	1047
54099	379	932
54100	375	926
54101	351	943
54102	457	973
54103	451	970
54106	427	1011
54107	408	986
54108	415	989
54109	374	1016
54110	387	1021
54111	451	974
54112	448	982
54113	441	988
54114	430	985
54115	396	1003
54116	392	1048
54813	372	1057
54818	347	917
54819	353	922
54881	378	973
54887	341	977
54906	384	973
54907	409	996
55001	354	1041
55002	348	1011
55003	354	1009
55004	289	1004
55005	297	982
55006	293	986
55007	308	1005
55008	283	966
55009	342	1025
55010	285	968
55011	311	981
55012	300	1000
55013	332	993
55014	337	986
55015	327	1020
55016	303	993
55017	299	997
55018	361	1008
55019	353	1026
55020	346	990
55021	351	991
55022	350	1040
55023	352	1039
55025	317	1014
55026	297	982
55027	365	1025
55028	367	1002
55029	342	1025
55030	292	988
55031	349	1009
55032	293	986
55036	357	1031
56001	336	1044
56002	326	1061
56003	305	1020
56004	313	1030
56005	333	1058
56006	295	1021
56007	293	1026
56008	339	1061
56010	337	1047
56011	322	1059
56012	325	1033
56013	301	1020
56015	340	1049
56016	311	1030
56019	321	1049
57001	306	1039
57002	302	1039
57003	314	1068
57004	308	1055
57005	308	1061
57006	305	1059
57007	310	1055
57008	323	1068
57009	312	1074
57010	304	1067
57014	316	1051
57015	304	1043
57016	306	1039
57803	306	1068
58001	290	1071
58002	282	1048
58003	293	1072
58004	280	1057
58005	291	1066
58006	293	1041
58007	290	1064
58008	278	1049
58009	293	1072
58010	298	1036
58011	302	1079
58012	278	1059
59001	269	1050
59002	263	1037
60001	249	1030
60003	224	1034
60004	230	1032
60006	243	1028
60007	277	1015
60008	279	1003
60009	272	1025
60010	248	1029
60012	265	1006
60013	255	1020
60015	247	1036
60016	267	1026
60802	249	1030
61001	195	1032
61002	208	1034
61003	202	1016
61004	195	1032
62001	225	1009
62002	245	1010
63001	259	972
63002	262	970
63004	280	977
64001	276	949
64002	264	943
64003	273	927
64004	283	946
64005	274	933
64006	264	962
64010	274	923
65001	260	902
65002	268	909
65004	248	891
65006	251	888
65007	250	908
65008	262	893
65014	259	899
65015	245	898
65801	262	893
66001	308	880
66002	302	880
66003	296	881
66004	312	879
66005	313	891
66006	296	879
66008	292	891
66011	281	893
66012	279	897
66025	305	875
67001	294	915
67002	336	909
67003	298	896
67005	330	913
67006	304	907
67007	317	907
67008	334	897
67009	320	884
67012	284	911
67013	295	916
67014	308	907
67015	335	909
67016	342	904
67017	288	910
67018	288	919
67019	293	914
67020	342	885
67021	345	892
67023	348	891
67025	340	902
67026	343	889
67027	342	891
67028	304	914
67029	307	910
67033	342	885
68001	367	887
68002	345	879
68003	367	879
68004	368	895
68005	366	908
68006	384	885
68007	371	875
68008	366	897
68010	328	862
68011	370	870
68012	372	883
68015	350	888
68018	387	887
68019	359	874
68020	345	879
68044	394	887
68804	367	877
69001	374	857
69002	383	851
69003	385	851
69004	403	853
69005	369	856
69006	373	863
69007	379	857
69008	386	867
69009	396	861
69011	386	862
69012	385	869
69013	374	860
69015	398	859
69016	401	855
69017	397	861
69018	360	856
69020	386	853
69022	380	830
69023	382	842
69024	375	844
69025	383	851
69026	376	845
69027	391	858
69028	390	860
69030	359	858
69031	346	863
69032	340	852
69033	337	849
69035	380	839
69037	364	862
69039	387	852
69040	379	831
69041	394	854
69043	385	851
69044	381	838
69045	373	863
69046	374	837
69047	395	833
69048	400	844
69803	389	837
70001	364	838
70002	348	838
70003	359	843
70004	350	832
70005	351	831
70006	348	841
71001	360	819
71002	373	795
71003	371	795
71004	374	815
71005	375	794
71006	373	810
71007	372	812
71008	371	810
71009	371	813
71010	385	814
71011	383	794
71013	369	825
71014	356	823
71015	366	798
71802	385	795
71803	369	808
71804	366	798
72001	351	786
72002	347	809
72003	361	783
72004	353	786
72005	363	759
72006	362	774
72007	353	809
72008	350	805
72009	362	780
72010	362	745
72011	364	759
72012	365	779
72013	361	749
72014	348	796
72015	362	747
72016	351	799
72803	351	786
72804	363	759
72807	359	782
72811	350	810
72814	353	807
72817	351	814
72818	349	813
73001	338	764
73002	330	762
73003	351	754
73005	351	764
73006	337	756
73008	351	771
73009	352	754
73010	337	764
73011	353	756
73012	352	757
73013	338	746
73014	337	747
73015	354	778
73017	350	754
73802	334	762
73803	343	762
73805	352	759
74001	320	762
74002	314	747
74003	309	735
74005	301	743
74006	304	746
74007	315	752
74008	321	756
74802	315	747
75001	331	732
75002	305	720
75003	321	718
75004	314	723
75005	326	727
75006	324	727
75007	333	725
75009	330	726
75014	325	737
75016	315	729
75017	310	712
75801	315	730
75802	328	737
76001	351	735
76002	347	695
76003	357	721
76004	353	723
76005	361	723
76007	339	694
76008	349	693
76009	338	704
76010	342	696
76012	364	684
76014	378	742
76015	347	726
76017	347	696
76018	340	735
76019	339	706
76806	378	737
76809	340	698
76811	346	724
77001	340	678
77002	340	675
77003	342	674
77004	329	681
77005	343	684
78001	314	676
78002	308	665
78003	320	680
78004	308	663
78005	309	665
78006	310	649
79001	263	645
79002	293	666
79003	269	638
79004	285	656
79005	292	670
79006	286	651
79007	303	680
80001	283	690
80002	274	686
81002	242	684
81003	219	690
81004	238	696
81005	210	694
81006	237	675
81007	259	690
82001	222	651
82002	235	634
82003	211	667
83002	230	601
83003	253	624
83004	251	628
83005	235	613
83006	236	629
83007	233	608
83008	236	611
83009	231	607
83010	254	613
83011	267	625
83013	244	613
84001	257	579
84002	231	586
84003	285	606
84004	293	607
84005	272	593
84006	268	575
84007	276	592
84008	268	591
84009	282	608
84011	241	585
84012	251	588
84013	268	589
84014	276	600
84016	274	578
84017	242	588
84018	290	611
84019	270	587
84020	266	574
84021	259	591
84022	293	625
84023	269	579
84024	284	583
84025	267	577
84026	256	576
84027	276	587
84028	276	587
84029	277	603
84030	259	592
84033	258	589
84035	261	594
84036	256	596
84037	286	617
85001	240	571
85002	248	563
85003	233	531
85004	236	557
86001	214	569
86002	215	566
88001	180	612
89002	227	508
89003	225	518
89004	216	520
89005	221	523
89006	198	536
90002	203	503
90003	212	476
91002	216	469
91802	226	472
92001	167	480
92002	181	481
92003	183	488
92004	170	502
92803	181	481
93001	195	408
93002	195	419
94001	187	371
94002	187	371
94003	183	378
95001	215	325
95002	219	367
95003	217	348
95004	223	340
95005	225	304
95006	216	355
96001	289	294
96002	272	294
96003	284	286
96004	246	308
96005	236	291
96006	267	293
96007	248	289
97002	313	291
101001	459	1165
101002	451	1163
101003	449	1162
101004	460	1165
102001	243	873
105001	142	401
106001	141	318
106003	78	416
